country,year,local_price,dollar_price,hourly_wage_usd,bigmacs_per_hour
Belgium,2016,3.95,3.95,12.7408654917425,3.2255355675297466
Brazil,2016,13.5,3.38,2.21189252915395,0.6544060737141865
Canada,2016,5.84,5.84,9.88118650428104,1.691983990459082
Chile,2016,2100.0,2.94,3.31707983797528,1.1282584482909115
Colombia,2016,7900.0,2.43,2.67729043112729,1.1017656095174033
Costa Rica,2016,2150.0,4.02,3.77466217878177,0.9389706912392464
Estonia,2016,3.0,3.0,5.12460281180684,1.7082009372689466
France,2016,4.1,4.1,13.767598590645,3.3579508757670733
Germany,2016,3.59,3.59,12.6494875366495,3.5235341327714487
Greece,2016,3.35,3.35,5.82893234881055,1.7399798056150895
Hungary,2016,900.0,3.08,4.63609285551818,1.5052249530903183
Ireland,2016,3.95,3.95,9.80876985096963,2.4832328736631974
Israel,2016,16.9,5.63,6.64939858904523,1.1810654687469326
Japan,2016,370.0,3.14,7.59578014083554,2.4190382614125925
Mexico,2016,49.0,2.88,1.05657946837245,0.3668678709626563
Netherlands,2016,3.45,3.45,12.806086413619,3.711909105396811
New Zealand,2016,5.9,5.9,11.3629406920135,1.9259221511887288
Poland,2016,9.6,2.4,6.83541893711871,2.8480912237994627
Portugal,2016,3.0,3.0,6.22319153981225,2.074397179937417
Spain,2016,3.5,3.5,8.66122618592239,2.474636053120683
United States,2016,4.29,4.29,8.84035329153365,2.0606884129449066
Australia,2016,5.75,5.75,13.3307638693632,2.3183937164109913
Belgium,2016,3.95,3.95,12.7408654917425,3.2255355675297466
Brazil,2016,15.5,5.17,2.21189252915395,0.4278322106680755
Canada,2016,6.0,6.0,9.88118650428104,1.6468644173801732
Chile,2016,2300.0,3.53,3.31707983797528,0.9396826736473881
Colombia,2016,8900.0,3.04,2.67729043112729,0.8806876418181875
Costa Rica,2016,2250.0,4.12,3.77466217878177,0.9161801404810122
Estonia,2016,3.1,3.1,5.12460281180684,1.6530976812280127
France,2016,4.1,4.1,13.767598590645,3.3579508757670733
Germany,2016,3.79,3.79,12.6494875366495,3.3375956561080478
Greece,2016,3.35,3.35,5.82893234881055,1.7399798056150895
Hungary,2016,900.0,3.16,4.63609285551818,1.4671179922525888
Ireland,2016,4.0,4.0,9.80876985096963,2.4521924627424077
Israel,2016,16.9,5.63,6.64939858904523,1.1810654687469326
Japan,2016,370.0,3.49,7.59578014083554,2.1764413010990085
Mexico,2016,44.0,2.44,1.05657946837245,0.43302437228379104
Netherlands,2016,3.45,3.45,12.806086413619,3.711909105396811
New Zealand,2016,6.0,6.0,11.3629406920135,1.8938234486689167
Poland,2016,9.6,3.2,6.83541893711871,2.136068417849597
Portugal,2016,3.05,3.05,6.22319153981225,2.0403906687909017
Spain,2016,3.5,3.5,8.66122618592239,2.474636053120683
United States,2016,4.5,4.5,8.84035329153365,1.9645229536741442
Australia,2017,5.8,5.8,13.4495583663711,2.318889373512259
Belgium,2017,3.95,3.95,12.7256597390436,3.2216860098844555
Brazil,2017,16.5,5.5,2.27669928333354,0.41394532424246183
Canada,2017,5.98,5.98,10.0530186277924,1.6811067939452171
Chile,2017,2450.0,3.65,3.41573116748644,0.9358167582154631
Colombia,2017,9900.0,3.31,2.74622476208899,0.8296751547096646
Costa Rica,2017,2250.0,4.06,3.71427829103278,0.9148468697125074
Estonia,2017,3.1,3.1,5.42348402940567,1.7495109772276354
France,2017,4.1,4.1,13.753757826226,3.3545750795673173
Germany,2017,3.79,3.79,12.9598387187318,3.4194825115387335
Greece,2017,3.35,3.35,5.76429961896548,1.7206864534225312
Hungary,2017,900.0,3.06,5.14148477742139,1.6802237834710423
Ireland,2017,4.0,4.0,9.88231711269959,2.4705792781748976
Israel,2017,16.9,5.63,6.99934692838188,1.2432232554852363
Japan,2017,380.0,3.28,7.79349578840926,2.3760657891491648
Mexico,2017,49.0,2.33,1.09187469531917,0.4686157490640215
Netherlands,2017,3.61,3.61,12.8593162147332,3.5621374556047645
New Zealand,2017,6.0,6.0,11.5251450646907,1.9208575107817831
Poland,2017,9.6,2.4,7.23935769515698,3.016399039648742
Portugal,2017,3.05,3.05,6.45192184809204,2.1153842124891935
Spain,2017,3.95,3.95,9.17399852747802,2.3225312727792455
United States,2017,4.5,4.5,8.65597157509853,1.9235492389107844
Australia,2017,5.9,5.9,13.4495583663711,2.279586163791712
Belgium,2017,4.05,4.05,12.7256597390436,3.1421382071712594
Brazil,2017,16.5,5.5,2.27669928333354,0.41394532424246183
Canada,2017,5.97,5.97,10.0530186277924,1.6839227182231826
Chile,2017,2550.0,3.85,3.41573116748644,0.8872029006458285
Colombia,2017,9900.0,3.24,2.74622476208899,0.8476002352126512
Costa Rica,2017,2290.0,4.0,3.71427829103278,0.928569572758195
Estonia,2017,3.15,3.15,5.42348402940567,1.7217409617160857
France,2017,4.1,4.1,13.753757826226,3.3545750795673173
Germany,2017,3.9,3.9,12.9598387187318,3.32303556890559
Greece,2017,3.35,3.35,5.76429961896548,1.7206864534225312
Hungary,2017,862.0,3.22,5.14148477742139,1.5967344029258974
Ireland,2017,4.07,4.07,9.88231711269959,2.428087742678032
Israel,2017,16.9,5.63,6.99934692838188,1.2432232554852363
Japan,2017,380.0,3.36,7.79349578840926,2.3194927941694226
Mexico,2017,49.0,2.88,1.09187469531917,0.37912315809693403
Netherlands,2017,3.61,3.61,12.8593162147332,3.5621374556047645
New Zealand,2017,6.1,6.1,11.5251450646907,1.889368043391918
Poland,2017,10.1,3.37,7.23935769515698,2.148177357613347
Portugal,2017,3.25,3.25,6.45192184809204,1.9852067224898584
Spain,2017,3.8,3.8,9.17399852747802,2.4142101388100055
United States,2017,4.5,4.5,8.65597157509853,1.9235492389107844
Australia,2018,5.9,5.9,13.6445469560686,2.312635077299763
Belgium,2018,4.1,4.1,12.5929396803159,3.0714487025160735
Brazil,2018,16.5,5.5,2.23605730771214,0.40655587412947997
Canada,2018,6.55,6.55,11.1096001701923,1.6961221633881374
Chile,2018,2600.0,4.3,3.49689464416062,0.8132313125954931
Colombia,2018,10900.0,3.83,2.81696517914423,0.7355000467739503
Costa Rica,2018,2290.0,4.03,3.72186620863271,0.9235400021421116
Estonia,2018,3.15,3.15,5.60166237117651,1.7783055146592097
France,2018,4.2,4.2,13.6698576193912,3.254728004616952
Germany,2018,3.9,3.9,12.7391748517034,3.266455090180359
Greece,2018,3.35,3.35,5.72846119096096,1.7099884152122269
Hungary,2018,864.0,3.43,5.4042693694101,1.575588737437347
Ireland,2018,4.07,4.07,10.1532393028888,2.4946533913731694
Israel,2018,16.5,5.5,7.36271702532425,1.3386758227862272
Japan,2018,380.0,3.45,7.95348529505536,2.3053580565377856
Mexico,2018,48.0,2.67,1.14907566485091,0.4303654175471573
Netherlands,2018,3.71,3.71,12.8678427282665,3.4684212205570084
New Zealand,2018,6.2,6.2,11.7502698051046,1.8952048072749352
Poland,2018,10.1,3.37,7.46597113927114,2.215421703047816
Portugal,2018,3.2,3.2,6.65230132460595,2.078844163939359
Spain,2018,3.95,3.95,9.38117598835241,2.374981262874028
United States,2018,4.61,4.61,8.44958346082443,1.8328814448643014
Australia,2018,6.05,6.05,13.6445469560686,2.255297017532
Belgium,2018,4.1,4.1,12.5929396803159,3.0714487025160735
Brazil,2018,16.9,5.63,2.23605730771214,0.3971682606948739
Canada,2018,6.65,6.65,11.1096001701923,1.6706165669462103
Chile,2018,2640.0,4.06,3.49689464416062,0.8613040995469509
Colombia,2018,11900.0,4.14,2.81696517914423,0.6804263717739686
Costa Rica,2018,2290.0,4.04,3.72186620863271,0.9212540120377996
Croatia,2018,21.0,3.5,5.19269703529946,1.4836277243712743
Estonia,2018,3.15,3.15,5.60166237117651,1.7783055146592097
France,2018,4.2,4.2,13.6698576193912,3.254728004616952
Germany,2018,4.12,4.12,12.7391748517034,3.0920327309959705
Greece,2018,3.35,3.35,5.72846119096096,1.7099884152122269
Hungary,2018,850.0,3.08,5.4042693694101,1.7546329121461364
Ireland,2018,4.07,4.07,10.1532393028888,2.4946533913731694
Israel,2018,17.0,5.67,7.36271702532425,1.2985391579055114
Japan,2018,390.0,3.51,7.95348529505536,2.2659502265114986
Latvia,2018,2.7,2.7,5.18847907091741,1.9216589151545962
Lithuania,2018,2.8,2.8,5.69049630642802,2.032320109438579
Mexico,2018,49.0,2.58,1.14907566485091,0.4453781646708953
Netherlands,2018,3.79,3.79,12.8678427282665,3.395209163131003
New Zealand,2018,6.2,6.2,11.7502698051046,1.8952048072749352
Poland,2018,10.1,3.37,7.46597113927114,2.215421703047816
Portugal,2018,3.25,3.25,6.65230132460595,2.0468619460326
Romania,2018,9.2,3.07,6.80321258601367,2.216030158310642
Slovenia,2018,2.3,2.3,8.46013982422573,3.678321662706839
Spain,2018,4.1,4.1,9.38117598835241,2.288091704476198
United States,2018,4.62,4.62,8.44958346082443,1.828914169009617
Australia,2019,6.1,6.1,13.861185596832,2.272325507677377
Belgium,2019,4.2,4.2,12.6624429493776,3.014867368899428
Brazil,2019,16.9,5.63,2.2550088880611,0.40053443837674957
Canada,2019,6.77,6.77,11.2957587954816,1.6685020377373116
Chile,2019,2640.0,3.89,3.63902849327214,0.9354829031547918
Colombia,2019,11900.0,3.73,2.88436447901571,0.7732880640792787
Costa Rica,2019,2290.0,3.78,3.74306940169098,0.9902300004473492
Croatia,2019,21.0,3.5,5.61646405872551,1.6047040167787172
Estonia,2019,3.2,3.2,5.91951915550596,1.8498497360956125
France,2019,4.2,4.2,13.7252847991065,3.2679249521682143
Germany,2019,4.12,4.12,13.0548246526802,3.168646760359272
Greece,2019,3.35,3.35,6.28584220621461,1.8763708078252568
Hungary,2019,850.0,3.04,5.71588970076589,1.8802268752519375
Ireland,2019,4.07,4.07,10.3221017805772,2.5361429436307614
Israel,2019,17.0,5.67,7.3006771030535,1.2875973726725751
Japan,2019,390.0,3.61,8.15820126437971,2.259889546919587
Latvia,2019,2.8,2.8,5.04659885805587,1.8023567350199539
Lithuania,2019,2.85,2.85,7.69416770018882,2.699707964978533
Mexico,2019,49.0,2.58,1.28845216695208,0.49940006471010856
Netherlands,2019,4.0,4.0,12.8506650208303,3.212666255207575
New Zealand,2019,6.2,6.2,12.4271809173058,2.00438401892029
Poland,2019,10.5,3.5,7.82495556502168,2.2357015900061943
Portugal,2019,3.25,3.25,6.85846328357968,2.1102963949475937
Romania,2019,9.3,2.33,7.16744775132389,3.076157833186219
Slovenia,2019,2.3,2.3,8.75742507022188,3.807576117487774
Spain,2019,3.95,3.95,11.3862329016416,2.8825906080105317
United States,2019,4.71,4.71,8.29918479775503,1.7620349889076499
Australia,2019,6.15,6.15,13.861185596832,2.2538513165580487
Belgium,2019,4.2,4.2,12.6624429493776,3.014867368899428
Brazil,2019,17.5,5.83,2.2550088880611,0.3867939773689708
Canada,2019,6.77,6.77,11.2957587954816,1.6685020377373116
Chile,2019,2640.0,3.83,3.63902849327214,0.9501379877995144
Colombia,2019,11900.0,3.69,2.88436447901571,0.7816705905191625
Costa Rica,2019,2290.0,3.94,3.74306940169098,0.9500176146423807
Croatia,2019,22.0,3.67,5.61646405872551,1.5303716781268422
Estonia,2019,3.2,3.2,5.91951915550596,1.8498497360956125
France,2019,4.2,4.2,13.7252847991065,3.2679249521682143
Germany,2019,4.14,4.14,13.0548246526802,3.153339288087005
Greece,2019,3.3,3.3,6.28584220621461,1.904800668549882
Hungary,2019,900.0,3.1,5.71588970076589,1.8438353873438356
Ireland,2019,4.3,4.3,10.3221017805772,2.4004887861807442
Israel,2019,17.0,5.67,7.3006771030535,1.2875973726725751
Japan,2019,390.0,3.61,8.15820126437971,2.259889546919587
Latvia,2019,2.85,2.85,5.04659885805587,1.7707364414231124
Lithuania,2019,2.85,2.85,7.69416770018882,2.699707964978533
Mexico,2019,50.0,2.78,1.28845216695208,0.46347200250074827
Netherlands,2019,4.06,4.06,12.8506650208303,3.165188428775936
New Zealand,2019,6.4,6.4,12.4271809173058,1.941747018329031
Poland,2019,10.8,3.6,7.82495556502168,2.1735987680615776
Portugal,2019,3.25,3.25,6.85846328357968,2.1102963949475937
Romania,2019,9.3,2.33,7.16744775132389,3.076157833186219
Slovenia,2019,2.4,2.4,8.75742507022188,3.64892711259245
Spain,2019,3.95,3.95,11.3862329016416,2.8825906080105317
United States,2019,4.71,4.71,8.29918479775503,1.7620349889076499
Australia,2020,6.45,6.45,14.0739108970574,2.1820016894662637
Belgium,2020,4.3,4.3,12.695512639127,2.9524447997969765
Brazil,2020,19.9,4.97,2.28773011674076,0.4603078705715815
Canada,2020,6.77,6.77,11.5016223847378,1.6989102488534418
Chile,2020,2640.0,3.42,3.77275683842949,1.1031452743945878
Colombia,2020,11900.0,3.62,2.98208064311365,0.8237791831805663
Costa Rica,2020,2350.0,4.13,3.80993282731315,0.9225018952332082
Croatia,2020,22.0,3.67,6.08332290135834,1.6575811720322453
Estonia,2020,3.2,3.2,6.44607745474247,2.0143992046070216
France,2020,4.2,4.2,13.8236261642623,3.291339562919595
Germany,2020,4.14,4.14,13.2628981016807,3.203598575285193
Greece,2020,3.3,3.3,6.41832308074576,1.944946388104776
Hungary,2020,900.0,3.02,5.97724779864877,1.9792211253803875
Ireland,2020,4.2,4.2,10.6737973731057,2.541380326929928
Israel,2020,17.0,5.67,7.3458106716496,1.2955574376807055
Japan,2020,390.0,3.55,8.3471635844606,2.3513136857635493
Latvia,2020,2.85,2.85,5.03556788948443,1.7668659261348876
Lithuania,2020,2.85,2.85,7.60294043982703,2.667698399939309
Mexico,2020,50.0,2.78,1.49539664911857,0.5379124637117159
Netherlands,2020,4.09,4.09,13.0100009378797,3.1809293246649637
New Zealand,2020,6.5,6.5,13.0603009589635,2.009277070609769
Poland,2020,11.0,3.67,8.74700581206051,2.383380330261719
Portugal,2020,3.25,3.25,7.25911662784359,2.2335743470287968
Romania,2020,9.5,2.38,7.74507541001601,3.254233365552946
Slovenia,2020,2.4,2.4,9.29539936712408,3.8730830696350336
Spain,2020,4.2,4.2,12.0721411526942,2.874319322070048
United States,2020,4.82,4.82,8.19805487205278,1.7008412597619873
Australia,2020,6.55,6.55,14.0739108970574,2.148688686573649
Belgium,2020,4.35,4.35,12.695512639127,2.9185086526728736
Brazil,2020,20.9,4.18,2.28773011674076,0.5473038556796077
Canada,2020,6.88,6.88,11.5016223847378,1.6717474396421221
Chile,2020,2740.0,3.48,3.77275683842949,1.0841255282843363
Colombia,2020,11900.0,3.29,2.98208064311365,0.9064074903081003
Costa Rica,2020,2350.0,4.04,3.80993282731315,0.9430526800280074
Croatia,2020,22.0,3.67,6.08332290135834,1.6575811720322453
Estonia,2020,3.2,3.2,6.44607745474247,2.0143992046070216
France,2020,4.2,4.2,13.8236261642623,3.291339562919595
Germany,2020,4.45,4.45,13.2628981016807,2.9804265397035277
Greece,2020,3.3,3.3,6.41832308074576,1.944946388104776
Hungary,2020,900.0,2.89,5.97724779864877,2.068251833442481
Ireland,2020,4.3,4.3,10.6737973731057,2.4822784588617908
Israel,2020,17.0,5.67,7.3458106716496,1.2955574376807055
Japan,2020,390.0,3.64,8.3471635844606,2.293176808917747
Latvia,2020,2.85,2.85,5.03556788948443,1.7668659261348876
Lithuania,2020,2.85,2.85,7.60294043982703,2.667698399939309
Mexico,2020,50.0,2.27,1.49539664911857,0.6587650436645682
Netherlands,2020,4.09,4.09,13.0100009378797,3.1809293246649637
New Zealand,2020,6.6,6.6,13.0603009589635,1.9788334786308335
Poland,2020,11.0,3.67,8.74700581206051,2.383380330261719
Portugal,2020,3.45,3.45,7.25911662784359,2.104091776186548
Romania,2020,9.9,2.48,7.74507541001601,3.123014278232262
Slovenia,2020,2.5,2.5,9.29539936712408,3.718159746849632
Spain,2020,4.1,4.1,12.0721411526942,2.9444246713888296
United States,2020,4.82,4.82,8.19805487205278,1.7008412597619873
Australia,2021,6.48,6.48,13.9742125212247,2.1565142779667745
Belgium,2021,4.35,4.35,12.5994109856798,2.8964163185470806
Brazil,2021,21.9,4.38,2.22354576136589,0.5076588496269155
Canada,2021,6.77,6.77,11.3845332025289,1.6816149486748746
Chile,2021,2940.0,4.09,3.77055573201567,0.9218962669964964
Colombia,2021,12950.0,3.74,2.98222227825382,0.7973856358967433
Costa Rica,2021,2350.0,3.83,4.31217963097527,1.1258954650065978
Croatia,2021,23.0,3.83,6.19810814803719,1.618304999487517
Estonia,2021,3.2,3.2,6.15946717680417,1.9248334927513029
France,2021,4.2,4.2,13.81,3.288095238095238
Germany,2021,4.46,4.46,13.088476829664,2.9346360604627804
Greece,2021,3.3,3.3,6.34072367817691,1.9214314176293668
Hungary,2021,900.0,3.03,5.81925383446035,1.9205458199539112
Ireland,2021,4.4,4.4,10.5311392169097,2.3934407311158408
Israel,2021,17.0,5.67,7.23398551054148,1.2758351870443527
Japan,2021,390.0,3.75,8.44167726461587,2.251113937230899
Latvia,2021,2.85,2.85,5.66958638936487,1.9893285576718842
Lithuania,2021,2.9,2.9,8.41968846593363,2.9033408503219413
Mexico,2021,54.0,2.7,1.62710059361847,0.6026298494883221
Netherlands,2021,4.13,4.13,12.8693728601168,3.116070910439903
New Zealand,2021,6.8,6.8,13.3284587173466,1.9600674584333235
Poland,2021,13.08,4.36,8.96658891797403,2.056557091278447
Portugal,2021,3.45,3.45,7.50735899302298,2.176046084934197
Romania,2021,9.9,2.48,7.43987063298735,2.9999478358819958
Slovenia,2021,2.5,2.5,9.93178106497756,3.9727124259910243
Spain,2021,4.33,4.33,11.7571544673001,2.7152781679676905
United States,2021,4.89,4.89,7.83020298698772,1.6012685044964663
Australia,2021,6.55,6.55,13.9742125212247,2.1334675604923206
Belgium,2021,4.45,4.45,12.5994109856798,2.831328311388719
Brazil,2021,22.9,4.58,2.22354576136589,0.485490340909583
Canada,2021,6.77,6.77,11.3845332025289,1.6816149486748746
Chile,2021,2990.0,3.94,3.77055573201567,0.9569938406131143
Colombia,2021,12950.0,3.37,2.98222227825382,0.8849324267815489
Costa Rica,2021,2370.0,3.84,4.31217963097527,1.1229634455664765
Croatia,2021,24.0,4.0,6.19810814803719,1.5495270370092975
Estonia,2021,3.2,3.2,6.15946717680417,1.9248334927513029
France,2021,4.3,4.3,13.81,3.2116279069767444
Germany,2021,4.45,4.45,13.088476829664,2.941230748239101
Greece,2021,3.3,3.3,6.34072367817691,1.9214314176293668
Hungary,2021,908.0,2.98,5.81925383446035,1.9527697431075002
Ireland,2021,4.5,4.5,10.5311392169097,2.3402531593132667
Israel,2021,17.0,5.67,7.23398551054148,1.2758351870443527
Japan,2021,390.0,3.58,8.44167726461587,2.3580104091105785
Latvia,2021,2.85,2.85,5.66958638936487,1.9893285576718842
Lithuania,2021,2.9,2.9,8.41968846593363,2.9033408503219413
Mexico,2021,64.0,3.2,1.62710059361847,0.5084689355057718
Netherlands,2021,4.22,4.22,12.8693728601168,3.0496144218286254
New Zealand,2021,6.9,6.9,13.3284587173466,1.93166068367342
Poland,2021,13.43,4.48,8.96658891797403,2.001470740619203
Portugal,2021,3.45,3.45,7.50735899302298,2.176046084934197
Romania,2021,10.6,2.65,7.43987063298735,2.807498352070698
Slovenia,2021,2.6,2.6,9.93178106497756,3.8199157942221382
Spain,2021,4.4,4.4,11.7571544673001,2.6720805607500226
United States,2021,4.93,4.93,7.83020298698772,1.5882764679488277
Australia,2022,6.4,6.4,13.6122073962705,2.1269074056672657
Belgium,2022,4.55,4.55,12.6536891097825,2.7810305735785716
Brazil,2022,22.9,4.58,2.44994314797769,0.534922084711286
Canada,2022,6.77,6.77,11.1245052492568,1.6432060929478287
Chile,2022,3100.0,3.88,3.70305724104977,0.954396196146848
Colombia,2022,12950.0,3.29,2.97927618831265,0.9055550724354559
Costa Rica,2022,2650.0,4.13,4.06586863134732,0.9844718235707798
Croatia,2022,23.67,3.94,6.17710581009153,1.5677933528151091
Estonia,2022,3.4,3.4,5.72207044076249,1.682961894341909
France,2022,4.35,4.35,13.82,3.177011494252874
Germany,2022,4.46,4.46,13.55,3.0381165919282513
Greece,2022,3.4,3.4,6.2,1.823529411764706
Hungary,2022,982.0,3.1,6.16204138035835,1.9877552839865644
Ireland,2022,4.6,4.6,10.0557856681112,2.1860403626328697
Israel,2022,17.0,5.67,7.02925288041271,1.2397271394025944
Japan,2022,390.0,3.39,8.49439638869082,2.5057216485813627
Latvia,2022,2.85,2.85,4.8329830379556,1.6957835220896842
Lithuania,2022,2.9,2.9,8.00015749750778,2.758674999140614
Mexico,2022,69.0,3.45,1.83974541422676,0.5332595403555825
Netherlands,2022,4.4,4.4,12.0289467943393,2.7338515441680222
New Zealand,2022,7.0,7.0,13.1739765427577,1.8819966489653857
Poland,2022,14.08,3.52,8.42360338444952,2.3930691433095226
Portugal,2022,3.45,3.45,7.38084486476837,2.139375323121267
Romania,2022,10.6,2.65,6.6414651760923,2.5062132739970946
Slovenia,2022,2.8,2.8,9.57282548167947,3.4188662434569537
Spain,2022,4.58,4.58,11.3552539104474,2.479313080883712
United States,2022,5.04,5.04,7.25,1.4384920634920635
Australia,2022,6.7,6.7,13.6122073962705,2.031672745712015
Belgium,2022,4.6,4.6,12.6536891097825,2.7508019803875
Brazil,2022,22.9,4.58,2.44994314797769,0.534922084711286
Canada,2022,6.77,6.77,11.1245052492568,1.6432060929478287
Chile,2022,3400.0,3.66,3.70305724104977,1.011764273510866
Colombia,2022,14950.0,3.48,2.97927618831265,0.8561138472162787
Costa Rica,2022,2650.0,3.91,4.06586863134732,1.0398641000888287
Croatia,2022,27.0,3.86,6.17710581009153,1.6002864792983238
Estonia,2022,3.4,3.4,5.72207044076249,1.682961894341909
France,2022,4.7,4.7,13.82,2.9404255319148938
Germany,2022,4.58,4.58,13.55,2.958515283842795
Greece,2022,4.0,4.0,6.2,1.55
Hungary,2022,1030.0,2.65,6.16204138035835,2.3252986340974906
Ireland,2022,5.0,5.0,10.0557856681112,2.0111571336222402
Israel,2022,17.0,5.67,7.02925288041271,1.2397271394025944
Japan,2022,390.0,2.85,8.49439638869082,2.9804899609441473
Latvia,2022,3.0,3.0,4.8329830379556,1.6109943459852
Lithuania,2022,3.05,3.05,8.00015749750778,2.6230024581992724
Mexico,2022,70.0,3.5,1.83974541422676,0.5256415469219314
Netherlands,2022,4.5,4.5,12.0289467943393,2.6730992876309556
New Zealand,2022,7.1,7.1,13.1739765427577,1.8554896539095354
Poland,2022,16.68,4.17,8.42360338444952,2.020048773249285
Portugal,2022,4.0,4.0,7.38084486476837,1.8452112161920926
Romania,2022,11.0,2.75,6.6414651760923,2.4150782458517455
Slovenia,2022,3.2,3.2,9.57282548167947,2.991507963024834
Spain,2022,4.58,4.58,11.3552539104474,2.479313080883712
United States,2022,5.15,5.15,7.25,1.407766990291262
